cv_method,cv_variant,fold,train_csir,test_csir,train_n,test_n,overfit_ratio,weight_concentration_hhi,max_weight,max_weight_factor,return_col_used,n_draws,dirichlet_alpha,w_ESG_composite,w_financial_score,w_market_score,w_operational_score
leave5out,original,29,1.2795304492673552,0.7195759412123703,271,5,1.7781729151946544,0.6264567058086398,0.7807917420909378,market_score,price_momentum_6m,2000,2.0,0.054204801013262964,0.09411487712878852,0.7807917420909378,0.07088857976701063
leave5out,original,30,1.44905230814052,-0.4058794990471607,271,5,-3.5701539789502017,0.6046805253900389,0.7635049003039414,market_score,price_momentum_6m,2000,2.0,0.09033687167593045,0.0350072844721888,0.7635049003039414,0.11115094354793942
leave5out,original,31,1.2768205250711329,0.030297856012726398,271,5,42.14227304798683,0.6930234444316562,0.825798979517411,market_score,price_momentum_6m,2000,2.0,0.08001723223736285,0.03610464194975764,0.825798979517411,0.05807914629546857
leave5out,original,32,1.3085780261863869,0.0891323408762199,271,5,14.681293140673928,0.6293955815150645,0.7805713728115088,market_score,price_momentum_6m,2000,2.0,0.12373480538648324,0.037479711842121996,0.7805713728115088,0.05821410995988598
leave5out,original,33,2.006882930347327,0.22982489980180051,271,5,8.73222584326079,0.6577713257932897,0.7998087915638765,market_score,price_momentum_6m,2000,2.0,0.06862428130802538,0.017239655573672644,0.7998087915638765,0.1143272715544254
leave5out,original,34,1.76847577579624,0.4701768141878939,271,5,3.7612994134444593,0.5950643418943321,0.7559701661011698,market_score,price_momentum_6m,2000,2.0,0.03590787930148234,0.08635928146661195,0.7559701661011698,0.12176267313073591
leave5out,original,35,1.4559466962650374,0.5533350542366534,271,5,2.6312207854072227,0.6017896996422711,0.7578097155842054,market_score,price_momentum_6m,2000,2.0,0.12734302716679105,0.008931661291522975,0.7578097155842054,0.1059155959574807
leave5out,original,36,1.4559466962650374,-0.16315818825172881,271,5,-8.923528219810096,0.5370433705345927,0.7041265596400622,market_score,price_momentum_6m,2000,2.0,0.05578722087097058,0.05179265869365172,0.7041265596400622,0.18829356079531553
leave5out,original,37,1.7492877305306676,-0.13373880264186927,271,5,-13.079881809043584,0.6258752468365802,0.7789587855838268,market_score,price_momentum_6m,2000,2.0,0.0810765884805959,0.033036435375998506,0.7789587855838268,0.1069281905595787
leave5out,original,38,1.2747596367749607,0.5435986712422815,271,5,2.3450381761001355,0.6833730335772848,0.8199823716287019,market_score,price_momentum_6m,2000,2.0,0.06689669047325963,0.048541637871077015,0.8199823716287019,0.06457930002696147
leave5out,original,39,1.5102950060935156,-1.475301740899832,271,5,-1.0237193953792207,0.6349660497646404,0.7867648750805613,market_score,price_momentum_6m,2000,2.0,0.048921116805385884,0.07606361405758348,0.7867648750805613,0.08825039405646923
leave5out,original,40,0.9656672826071627,-1.1568073961609442,271,5,-0.8347692847533353,0.5486499703764787,0.7147874167063466,market_score,price_momentum_6m,2000,2.0,0.17910875982721156,0.05621108653098367,0.7147874167063466,0.04989273693545817
leave5out,original,41,1.6823263486047315,0.975729191057432,271,5,1.7241734323937956,0.5871614101428309,0.7435545808742502,market_score,price_momentum_6m,2000,2.0,0.07448966851347776,0.012922327463386684,0.7435545808742502,0.16903342314888528
leave5out,original,42,1.4559466962650374,0.465409583296038,271,5,3.1283126695440364,0.5754838866512891,0.7358837961340601,market_score,price_momentum_6m,2000,2.0,0.04899594958948187,0.04267576745711974,0.7358837961340601,0.17244448681933833
leave5out,original,43,1.473171375241302,-0.31255520215610366,271,5,-4.713315809656138,0.6352770546812696,0.7830294669105329,market_score,price_momentum_6m,2000,2.0,0.13229608339352922,0.01937231973000945,0.7830294669105329,0.06530212996592838
leave5out,original,44,1.7787326249136244,0.5503354152908793,271,5,3.2320882414050494,0.6267550908298943,0.7770401852995255,market_score,price_momentum_6m,2000,2.0,0.031592923761748694,0.05293484927030186,0.7770401852995255,0.13843204166842404
leave5out,original,45,1.1468627215381224,0.3336132209030738,271,5,3.4377016536990164,0.6568436575938675,0.8000470713234978,market_score,price_momentum_6m,2000,2.0,0.027426865442446036,0.11006940749663915,0.8000470713234978,0.06245665573741697
leave5out,original,46,1.4360912955435639,1.0096727994950647,271,5,1.422333350090759,0.5643045891988239,0.7302434648816847,market_score,price_momentum_6m,2000,2.0,0.14264549010801886,0.027342772910192766,0.7302434648816847,0.09976827210010374
leave5out,original,47,1.508909625364218,0.23580990771122384,271,5,6.3988389604569385,0.6396655511547291,0.7895194186573857,market_score,price_momentum_6m,2000,2.0,0.06245297996541951,0.04691971806592108,0.7895194186573857,0.1011078833112738
leave5out,original,48,1.3323558929108343,-0.040918165924410756,271,5,-32.56147645102861,0.6553431480616295,0.7979548478898635,market_score,price_momentum_6m,2000,2.0,0.12504882746755647,0.03628654125849193,0.7979548478898635,0.040709783384088136
leave5out,original,49,1.2747596367749607,0.08239871685863197,271,5,15.470624832847216,0.6920297601824481,0.8249276843246781,market_score,price_momentum_6m,2000,2.0,0.08490303338293245,0.033897572607324906,0.8249276843246781,0.05627170968506445
leave5out,original,50,1.6823263486047315,-0.16801677469273402,271,5,-10.01284754264938,0.6401156701171659,0.785558876132315,market_score,price_momentum_6m,2000,2.0,0.07075898129332296,0.009857969695491013,0.785558876132315,0.133824172878871
leave5out,ex_market,1,0.29607319872181154,0.11124036686869837,271,5,2.6615625855056986,0.5007541007834732,0.6562001499196718,financial_score,price_momentum_6m,2000,2.0,0.24625144005917785,0.6562001499196718,,0.09754841002115044
leave5out,ex_market,2,0.3752569569574586,-1.0295442175492182,271,5,-0.3644884314800864,0.8128149228196363,0.8969851324164005,operational_score,price_momentum_6m,2000,2.0,0.08976030016763727,0.013254567415962187,,0.8969851324164005
leave5out,ex_market,3,0.29607319872181154,-0.00908526592524484,271,5,-32.58828133560227,0.5468258008149903,0.7050088174280742,financial_score,price_momentum_6m,2000,2.0,0.20352446449463585,0.7050088174280742,,0.09146671807728982
