ticker,original_rank,bootstrap_mean_rank,bootstrap_std_rank,ci_lower_5,ci_upper_95,p_top_n,ci_width_sampling,ci_width_weights,ci_width,consensus_rank,rank_std,ci_lower,ci_upper,rank_stable,rank_stable_relaxed,rank_stable_strict,rank_stable_moderate
DOCN,152.0,152.767,20.937543098463106,110.0,187.0,0.0,18.0,77.0,77.0,152.767,20.937543098463106,110.0,187.0,False,True,False,True
FIX,153.0,154.146,21.506805527553364,110.0,189.0,0.0,20.0,74.0,79.0,154.146,21.506805527553364,110.0,189.0,False,True,False,True
HBAN,154.0,154.093,16.356049370187165,120.0,183.0,0.0,17.0,61.0,63.0,154.093,16.356049370187165,120.0,183.0,False,True,False,True
NOV,155.0,153.952,11.102598614738804,131.0,173.0,0.0,14.0,39.0,42.0,153.952,11.102598614738804,131.0,173.0,False,True,True,True
DIXON.NS,156.0,154.769,16.722907612015323,119.0,181.0,0.0,19.0,61.0,62.0,154.769,16.722907612015323,119.0,181.0,False,True,False,True
BEN,157.0,156.011,9.873443117778114,135.0,174.0,0.0,16.024999999999977,35.0,39.0,156.011,9.873443117778114,135.0,174.0,False,True,True,True
SMCI,158.0,156.032,18.960669186502887,115.0,184.0,0.0,18.0,68.0,69.0,156.032,18.960669186502887,115.0,184.0,False,True,False,True
GRINDWELL.NS,159.0,157.57,15.361350852057251,126.0,184.02499999999998,0.0,19.0,57.0,58.02499999999998,157.57,15.361350852057251,126.0,184.02499999999998,False,True,False,True
LTTS.NS,160.0,154.06,12.558041248538721,129.0,179.0,0.0,19.025000000000006,45.0,50.0,154.06,12.558041248538721,129.0,179.0,False,True,True,True
DINO,161.0,165.95,16.53981559752103,125.975,189.0,0.0,16.024999999999977,62.0,63.025000000000006,165.95,16.53981559752103,125.975,189.0,False,True,False,True
CROX,162.0,158.269,21.54150967318679,114.975,195.0,0.0,20.0,78.02499999999998,80.025,158.269,21.54150967318679,114.975,195.0,False,True,False,True
IPCALAB.NS,163.0,160.118,10.924837573163273,136.0,177.0,0.0,17.0,37.0,41.0,160.118,10.924837573163273,136.0,177.0,False,True,True,True
CBSH,164.0,163.249,17.213860665173282,127.0,190.02499999999998,0.0,17.0,63.0,63.02499999999998,163.249,17.213860665173282,127.0,190.02499999999998,False,True,False,True
RAJESHEXPO.NS,165.0,167.196,19.089776949980322,123.0,197.0,0.0,17.0,73.02499999999998,74.0,167.196,19.089776949980322,123.0,197.0,False,True,False,True
TATACONSUM.NS,166.0,165.232,17.365718413011308,127.0,189.02499999999998,0.0,16.0,62.0,62.02499999999998,165.232,17.365718413011308,127.0,189.02499999999998,False,True,False,True
CMC,167.0,165.407,16.00616603062707,126.0,186.0,0.0,17.0,56.02499999999998,60.0,165.407,16.00616603062707,126.0,186.0,False,True,False,True
COFORGE.NS,168.0,165.895,10.611973190693615,141.0,181.0,0.0,15.0,37.025000000000006,40.0,165.895,10.611973190693615,141.0,181.0,False,True,True,True
AES,169.0,158.096,18.282581436985314,120.975,189.02499999999998,0.0,20.0,67.02499999999998,68.04999999999998,158.096,18.282581436985314,120.975,189.02499999999998,False,True,False,True
